rank,candidate_id,score,evidence_only,semantic_score,semantic_model,current_title,current_company,years,location,country,career_core,relevant_roles,relevant_months,total_months,title_relevant,experience_fit,location_fit,behavior_fit,notice_fit,job_stability,title_trajectory,skill_corroboration,keyword_stuffer,consulting_only,cv_only,research_only,negative_flags,anomaly_flags,anomaly_action,top_concepts,reasoning,strengths,concerns,skills,career_summary
41,CAND_0064326,0.8517297460286236,0.8693322333333333,0.7989222841144944,local-sentence-transformer,Search Engineer,Sarvam AI,7.6,"Gurgaon, Haryana",India,11,3,67,91,True,1.0,1.0,0.9352066666666665,0.75,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"Sarvam AI role Search Engineer; 7.6 years total. Relevant fit comes from Machine Learning Engineer at Aganitha: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Additional evidence: Search Engineer at Sarvam AI: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 45-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and end-to-end ownership.","Machine Learning Engineer at Aganitha: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | Search Engineer at Sarvam AI: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 3 roles and about 5 years",45-day notice period,"scikit-learn, PyTorch, Milvus, Deep Learning, Semantic Search, Weaviate, Object Detection, RAG, Weights & Biases, BM25","Search Engineer at Sarvam AI: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Machine Learning Engineer at Aganitha: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Machine Learning Engineer at Freshworks: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a"
42,CAND_0068811,0.8516285335129065,0.868746447624785,0.8002747911772707,local-sentence-transformer,Applied ML Engineer,Freshworks,8.0,"Pune, Maharashtra",India,9,2,44,95,True,1.0,1.0,0.7679937416605288,1.0,1.0,0.5,0.2,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"8.0 years in the profile and currently Applied ML Engineer at Freshworks. Key career evidence is Applied ML Engineer at Freshworks: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The profile also shows Recommendation Systems Engineer at Meesho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and end-to-end ownership.","Applied ML Engineer at Freshworks: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | Recommendation Systems Engineer at Meesho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 3 years",,"Data Science, Vector Search, Speech Recognition, TTS, Kubeflow, Qdrant, scikit-learn, TensorFlow, Embeddings, pgvector","Applied ML Engineer at Freshworks: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | AI Engineer at Yellow.ai: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Recommendation Systems Engineer at Meesho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
43,CAND_0054394,0.8362448946982968,0.8366616666666666,0.8349945787931872,local-sentence-transformer,Recommendation Systems Engineer,PharmEasy,4.1,"Pune, Maharashtra",India,10,2,48,48,True,0.62,1.0,0.8530000000000001,1.0,1.0,0.5,0.4,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"PharmEasy role Recommendation Systems Engineer; 4.1 years total. Relevant fit comes from Recommendation Systems Engineer at PharmEasy: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: NLP Engineer at Netflix: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Rank is based on shipped retrieval/ranking work rather than skill-list claims. Semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership.","Recommendation Systems Engineer at PharmEasy: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | NLP Engineer at Netflix: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership",,"Prompt Engineering, MLflow, Time Series, Fine-tuning LLMs, Node.js, Data Science, Embeddings, Haystack, Pinecone, Java","Recommendation Systems Engineer at PharmEasy: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | NLP Engineer at Netflix: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
44,CAND_0044855,0.8335580321234352,0.8351767,0.8287020284937406,local-sentence-transformer,Senior Data Scientist,Flipkart,6.6,"Coimbatore, Tamil Nadu",India,9,2,47,78,True,1.0,0.82,0.6362866666666666,0.75,1.0,0.625,0.8,False,False,False,False,,,none,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"6.6 years in the profile and currently Senior Data Scientist at Flipkart. Key career evidence is Recommendation Systems Engineer at LinkedIn: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The profile also shows Machine Learning Engineer at Verloop.io: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Main concern: 60-day notice period. Semantic retrieval aligns the profile with ranking evaluation and experimentation, production scale and operations, and semantic retrieval and information retrieval.","Recommendation Systems Engineer at LinkedIn: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | Machine Learning Engineer at Verloop.io: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | relevant work spans 2 roles and about 3 years",60-day notice period,"Object Detection, Learning to Rank, Hugging Face Transformers, OpenSearch, BentoML, Information Retrieval, Pinecone, Machine Learning, Vector Search, NLP","Senior Data Scientist at Flipkart: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Recommendation Systems Engineer at LinkedIn: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Machine Learning Engineer at Verloop.io: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
45,CAND_0026532,0.826040126620873,0.8175271666666666,0.8515790064834922,local-sentence-transformer,Recommendation Systems Engineer,Zomato,4.8,"Chennai, Tamil Nadu",India,8,2,56,56,True,0.62,0.82,0.7223,0.5,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"4.8 years; Recommendation Systems Engineer at Zomato. Strongest evidence: Recommendation Systems Engineer at Zomato: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Recommendation Systems Engineer at Mad Street Den: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Recommendation Systems Engineer at Zomato: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Recommendation Systems Engineer at Mad Street Den: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 2 roles and about 4 years",90-day notice period,"Prompt Engineering, Time Series, pgvector, TTS, LoRA, PEFT, Embeddings, Semantic Search, Information Retrieval, BentoML","Recommendation Systems Engineer at Zomato: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Recommendation Systems Engineer at Mad Street Den: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo"
46,CAND_0030827,0.8240593724388721,0.8199922333333334,0.8362607897554877,local-sentence-transformer,Senior Data Scientist,Freshworks,5.4,Singapore,Singapore,10,2,64,64,True,0.88,0.05,0.7618733333333333,0.25,1.0,0.625,0.8,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"5.4 years in the profile and currently Senior Data Scientist at Freshworks. Key career evidence is NLP Engineer at Glance: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. The profile also shows Senior Data Scientist at Freshworks: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 120-day notice period. Semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization.","NLP Engineer at Glance: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Senior Data Scientist at Freshworks: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",120-day notice period | location/relocation fit is weak,"Hugging Face Transformers, NLP, Recommendation Systems, FAISS, Reinforcement Learning, CSS, LlamaIndex, TTS, Qdrant, BM25","Senior Data Scientist at Freshworks: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | NLP Engineer at Glance: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
47,CAND_0076904,0.8175811013304607,0.8131321666666667,0.8309279053218428,local-sentence-transformer,Senior Data Scientist,Nykaa,4.2,London,UK,10,2,49,49,True,0.62,0.05,0.7293,0.5,1.0,0.625,0.6,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"4.2 years; Senior Data Scientist at Nykaa. Strongest evidence: AI Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Senior Data Scientist at Nykaa: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 90-day notice period. Semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership.","AI Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Senior Data Scientist at Nykaa: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership",90-day notice period | location/relocation fit is weak,"CNN, PEFT, Recommendation Systems, Deep Learning, BentoML, Vector Search, Machine Learning, ASR, NLP, scikit-learn","Senior Data Scientist at Nykaa: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | AI Engineer at Mad Street Den: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
48,CAND_0032515,0.8165995767238927,0.8290644,0.7792051068955709,local-sentence-transformer,Machine Learning Engineer,PharmEasy,5.1,Seattle,USA,10,2,38,60,True,0.88,0.05,0.6725066666666666,0.75,1.0,0.5,0.2,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,production scale and operations;ranking evaluation and experimentation;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"5.1 years in the profile and currently Machine Learning Engineer at PharmEasy. Key career evidence is Search Engineer at Zoho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. The profile also shows Machine Learning Engineer at PharmEasy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 45-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and end-to-end ownership.","Search Engineer at Zoho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | Machine Learning Engineer at PharmEasy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 3 years",45-day notice period | location/relocation fit is weak | limited explicit vector-infrastructure evidence,"MLflow, Milvus, Vector Search, QLoRA, Fine-tuning LLMs, BentoML, NLP, Deep Learning, OpenCV, Salesforce CRM","Machine Learning Engineer at PharmEasy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | AI Engineer at Razorpay: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Search Engineer at Zoho: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
49,CAND_0096172,0.8156265469602276,0.8185737895316916,0.8067848192458357,local-sentence-transformer,NLP Engineer,Krutrim,5.2,"Chennai, Tamil Nadu",India,8,2,61,61,True,0.88,0.58,0.648203510429287,0.75,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"5.2 years; NLP Engineer at Krutrim. Strongest evidence: NLP Engineer at Krutrim: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Machine Learning Engineer at Dream11: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Main concern: 45-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","NLP Engineer at Krutrim: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Dream11: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 2 roles and about 5 years",45-day notice period,"OpenSearch, Haystack, Forecasting, Elasticsearch, Semantic Search, CNN, LangChain, Time Series, Python, RAG","NLP Engineer at Krutrim: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Machine Learning Engineer at Dream11: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo"
50,CAND_0041669,0.8149605700104523,0.8123235666666667,0.8228715800418087,local-sentence-transformer,Recommendation Systems Engineer,CRED,8.0,"Noida, Uttar Pradesh",India,9,2,43,95,True,1.0,1.0,0.8706733333333334,0.75,0.8583333333333333,0.5,0.2,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"Recommendation Systems Engineer at CRED, with 8.0 years of experience. The rank is driven by NLP Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Supporting signal: Recommendation Systems Engineer at CRED: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and end-to-end ownership.","NLP Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | Recommendation Systems Engineer at CRED: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 3 years",60-day notice period,"FAISS, Milvus, PEFT, Diffusion Models, MLflow, QLoRA, Haystack, Semantic Search, Weaviate, Prompt Engineering","Recommendation Systems Engineer at CRED: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Search Engineer at Mad Street Den: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | NLP Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo"
